creator_id,nickname,creator_type,persona_tags,pgy_url,profile_url,followers_count,liked_collected_count,quote_price,video_quote_price,budget_status,daily_read_median,daily_interaction_median,natural_cpe,image_cpm,video_cpm,status,topic_point
pgy-ref:5c4f014b0000000010000d85,Keeee_,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5c4f014b0000000010000d85?track_id=kolSimilar_2c7394e14a0e47eeb556720114737e55&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5c4f014b0000000010000d85,14000.0,30000.0,550.0,,通过,632.0,109.0,5.05,99.95,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 632.0；互动中位数 109.0
pgy-ref:5c00957d44363b055e2f82cd,JoceLyn,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5c00957d44363b055e2f82cd?track_id=kolMatch_04c46f8c954145e485d9061d2df223b3&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5c00957d44363b055e2f82cd,1400.0000000000002,13000.0,350.0,,通过,590.0,56.0,6.25,112.79,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 590.0；互动中位数 56.0
pgy-ref:5c9dfc2a0000000010031a6d,坏羊羊🐏,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5c9dfc2a0000000010031a6d?track_id=kolMatch_04c46f8c954145e485d9061d2df223b3&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5c9dfc2a0000000010031a6d,1900.0,14000.0,400.0,,通过,545.0,85.0,4.68,129.58,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 545.0；互动中位数 85.0
pgy-ref:5b7419bc4c003500016916c4,lalswin,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5b7419bc4c003500016916c4?track_id=kolSimilar_59691c4503e646ea880b693aaa965b8d&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5b7419bc4c003500016916c4,3200.0,20000.0,367.0,,通过,1004.0,60.0,6.12,53.51,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 1004.0；互动中位数 60.0
pgy-ref:5b62a38b11be1013db046b88,要干点啥呢,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5b62a38b11be1013db046b88?track_id=kolSimilar_2c7394e14a0e47eeb556720114737e55&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5b62a38b11be1013db046b88,1900.0,22000.0,216.0,,通过,3208.0,178.0,1.12,25.58,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 3208.0；互动中位数 178.0
pgy-ref:58d4c0c26a6a69534a126f52,羊布白,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/58d4c0c26a6a69534a126f52?track_id=kolSimilar_2c7394e14a0e47eeb556720114737e55&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/58d4c0c26a6a69534a126f52,3700.0,55000.0,400.0,,通过,2099.0,151.0,3.17,37.03,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 2099.0；互动中位数 151.0
pgy-ref:6201daf600000000100086df,超级艾艾子,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6201daf600000000100086df?track_id=kolSimilar_3c7d5d3bae5946759905422ba8292e1b&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/6201daf600000000100086df,3500.0,62000.0,600.0,600.0,通过,998.0,86.0,3.49,,79.85,待补数据,留学背景；参考合作形式：视频；阅读中位数 998.0；互动中位数 86.0
pgy-ref:5e05a99d000000000100bb6e,在下蕊蕊🌍,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5e05a99d000000000100bb6e?track_id=kolSimilar_be099ebed95448a280b1373e8a66efa4&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5e05a99d000000000100bb6e,7800.0,72000.0,800.0,800.0,通过,2083.0,287.0,1.97,,32.27,待补数据,留学背景；参考合作形式：视频；阅读中位数 2083.0；互动中位数 287.0
pgy-ref:5b27d9264eacab70f4440aca,kangnila.妮,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5b27d9264eacab70f4440aca?track_id=kolSimilar_e0c4454f6fb54bccac069653c4419b61&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/5b27d9264eacab70f4440aca,5000.0,8800.0,522.0,522.0,通过,2906.0,189.0,4.23,,48.94,待补数据,留学背景；参考合作形式：视频；阅读中位数 2906.0；互动中位数 189.0
pgy-ref:611684c80000000001003fce,cooki71e,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/611684c80000000001003fce?track_id=kolSimilar_dc0acee2c6da4b2fb0e622392f9c0397&fromRoute=Advertiser_Kol&source=Advertiser_Kol,https://www.xiaohongshu.com/user/profile/611684c80000000001003fce,1800.0,10000.0,338.0,,通过,1014.0,155.0,2.17,48.38,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 1014.0；互动中位数 155.0
pgy-ref:5f8f0292000000000101e2f4,小费feifei,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5f8f0292000000000101e2f4,https://www.xiaohongshu.com/user/profile/5f8f0292000000000101e2f4,2400.0,30000.0,350.0,,通过,975.0,54.0,6.6,77.89,,待补数据,留学背景；参考合作形式：图文；阅读中位数 975.0；互动中位数 54.0
pgy-ref:5a386fa7e8ac2b2736e06d3b,Saki慢慢来,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a386fa7e8ac2b2736e06d3b,https://www.xiaohongshu.com/user/profile/5a386fa7e8ac2b2736e06d3b,2000.0,13000.0,180.0,,通过,4253.0,415.0,2.83,49.41,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 4253.0；互动中位数 415.0
pgy-ref:62131f07000000001000e97b,魏可乐在加拿大,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/62131f07000000001000e97b,https://www.xiaohongshu.com/user/profile/62131f07000000001000e97b,2600.0,14000.0,700.0,700.0,通过,1442.0,98.0,5.08,,74.5,待补数据,海外留学生；参考合作形式：视频；阅读中位数 1442.0；互动中位数 98.0
pgy-ref:5d18506700000000120224b3,苏姬酱,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5d18506700000000120224b3,https://www.xiaohongshu.com/user/profile/5d18506700000000120224b3,5100.0,46000.0,700.0,,通过,4325.0,107.0,6.54,40.19,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 4325.0；互动中位数 107.0
pgy-ref:6101fb8c00000000010076c3,cute killer,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6101fb8c00000000010076c3,https://www.xiaohongshu.com/user/profile/6101fb8c00000000010076c3,7100.0,127000.0,450.0,,通过,26206.0,390.0,2.47,18.04,,待补数据,留学背景；参考合作形式：图文；阅读中位数 26206.0；互动中位数 390.0
pgy-ref:5c23839b000000000700940f,咕咕贝贝,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5c23839b000000000700940f,https://www.xiaohongshu.com/user/profile/5c23839b000000000700940f,10000.0,49000.0,750.0,,通过,23643.0,4349.0,0.15,5.88,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 23643.0；互动中位数 4349.0
pgy-ref:646d5fd3000000000f0072bb,晓晓上火,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/646d5fd3000000000f0072bb,https://www.xiaohongshu.com/user/profile/646d5fd3000000000f0072bb,2200.0,14000.0,260.0,,通过,2276.0,260.0,0.96,27.71,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 2276.0；互动中位数 260.0
pgy-ref:5a7e4ef711be10612aa417b6,Gik- nil,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5a7e4ef711be10612aa417b6,https://www.xiaohongshu.com/user/profile/5a7e4ef711be10612aa417b6,7100.0,121000.0,600.0,600.0,通过,2223.0,135.0,2.96,,28.7,待补数据,海外留学生；参考合作形式：视频；阅读中位数 2223.0；互动中位数 135.0
pgy-ref:6549124e00000000300310bc,彦子（在泰留学版）,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6549124e00000000300310bc,https://www.xiaohongshu.com/user/profile/6549124e00000000300310bc,7800.0,124000.0,900.0,900.0,通过,1050.0,109.0,5.9,,131.54,待补数据,海外留学生；参考合作形式：视频；阅读中位数 1050.0；互动中位数 109.0
pgy-ref:5d2fc86300000000110087f3,Jzking,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5d2fc86300000000110087f3,https://www.xiaohongshu.com/user/profile/5d2fc86300000000110087f3,9200.0,80000.0,1300.0,1300.0,超预算,3322.0,302.0,2.03,,31.88,待补数据,留学背景；参考合作形式：视频；阅读中位数 3322.0；互动中位数 302.0
pgy-ref:556bbb4b5894463e5667901f,摸鱼小丸子,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/556bbb4b5894463e5667901f,https://www.xiaohongshu.com/user/profile/556bbb4b5894463e5667901f,3400.0000000000005,24000.0,400.0,,通过,4210.0,225.0,1.17,27.35,,待补数据,海外留学生；参考合作形式：图文；阅读中位数 4210.0；互动中位数 225.0
pgy-ref:5d0fa2ba0000000011001e01,可以每天都吃奥利奥吗,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5d0fa2ba0000000011001e01,https://www.xiaohongshu.com/user/profile/5d0fa2ba0000000011001e01,2500.0,26000.0,300.0,,通过,1859.0,113.0,2.65,27.66,,待补数据,留学背景；参考合作形式：图文；阅读中位数 1859.0；互动中位数 113.0
pgy-ref:6239b350000000001000c288,曼曼向前走,海外留学生,海外留学生、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/6239b350000000001000c288,https://www.xiaohongshu.com/user/profile/6239b350000000001000c288,4900.0,36000.0,493.0,493.0,通过,9091.0,380.0,1.69,,16.11,待补数据,海外留学生；参考合作形式：视频；阅读中位数 9091.0；互动中位数 380.0
pgy-ref:68309293000000000d0099ec,凍奶茶少甜,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/68309293000000000d0099ec,https://www.xiaohongshu.com/user/profile/68309293000000000d0099ec,2400.0,12000.0,350.0,,通过,1782.0,187.0,2.89,57.44,,待补数据,留学背景；参考合作形式：图文；阅读中位数 1782.0；互动中位数 187.0
pgy-ref:66f1285d000000001d02255b,啾啾,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/66f1285d000000001d02255b,https://www.xiaohongshu.com/user/profile/66f1285d000000001d02255b,3500.0,20000.0,388.0,388.0,通过,9927.0,413.0,0.7,,13.3,待补数据,留学背景；参考合作形式：视频；阅读中位数 9927.0；互动中位数 413.0
pgy-ref:5b2b307ce8ac2b0874c17dec,Dino_,留学背景,留学背景、听课宝参考优质达人、留学/海外身份,https://pgy.xiaohongshu.com/solar/pre-trade/blogger-detail/5b2b307ce8ac2b0874c17dec,https://www.xiaohongshu.com/user/profile/5b2b307ce8ac2b0874c17dec,15000.0,1839000.0,1300.0,1300.0,超预算,6866.0,524.0,1.15,,67.44,待补数据,留学背景；参考合作形式：视频；阅读中位数 6866.0；互动中位数 524.0
